Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_0_left,0.025725340467297,0.267068280658805,-0.000422587186137375,0,0,0,44.0003903766507,0.510206683960082,-0.108718830428625,0.00174239843209218,0.693171643275509,0.000898493242553072,0.722207260496373,0,0,0,0,0,0,package://left_arm_1/meshes/Link_0_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://left_arm_1/meshes/Link_0_left.STL,,Link_0_Left-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1_left,0.000353201939205738,0.220100104353883,-0.0818491698881181,0,0,0,11.1204795622201,0.528728735841248,0.000101247989800482,-0.000116486968337302,0.0394927315423423,-0.0449284723353491,0.539153696559962,0,0,0,0,0,0,package://left_arm_1/meshes/Link_1_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://left_arm_1/meshes/Link_1_left.STL,,Link_1_Left-1,Origin_Joint_1_left,Axis_Joint_1_left,Joint_1_left,revolute,0.18,0.0875,0.475,1.5708,1.5708,0,Link_0_left,0,0,1,300,3,-0.7855,3.14,,,,,,,,
Link_2_left,0.188455579325395,0.0659691446373103,0.0881220901536073,0,0,0,12.0535357513101,0.0553008130625235,-0.0224719405736704,0.0010783984034821,0.117941514496506,0.000838834697566184,0.130938800545731,0,0,0,0,0,0,package://left_arm_1/meshes/Link_2_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://left_arm_1/meshes/Link_2_left.STL,,Link_2_Left-2,Origin_Joint_2_left,Axis_Joint_2_left,Joint_2_left,revolute,0,0.52,0,0,0,1.4029,Link_1_left,0,0,1,300,3,-1.57,3.14,,,,,,,,
Link_3_left,0.0170573856228415,-9.55062083862757E-08,0.0420061621566493,0,0,0,0.828810415472124,0.000897507811096277,-1.36925090060582E-09,-3.31460866810968E-08,0.00135949204117928,-5.18258479819187E-11,0.00136817872211274,0,0,0,0,0,0,package://left_arm_1/meshes/Link_3_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://left_arm_1/meshes/Link_3_left.STL,,Link_3_Left-1,Origin_Joint_3_left,Axis_Joint_3_left,Joint_3_left,revolute,0.59,0.1,0.0455,0,0,0.1679,Link_2_left,0,0,1,300,3,-3.14,3.14,,,,,,,,
